draft_location,draft_claim,primary_table,secondary_table,note
Paragraph 12,Primary late-adaptation omnibus by assigned clamp group,paper_draft_results_late_group_omnibus.csv,paper_draft_results_late_group_zero_tests.csv,"This is the cleaner between-subject group x pointer ANOVA on each participant's mean across the four assigned clamp magnitudes; groups 1-8 survive Holm, groups 9-10 do not."
Paragraph 12,Secondary late-adaptation zero tests by individual clamp and input device,paper_draft_results_zero_tests_by_pointer.csv,paper_requested_seven_row_late_adaptation_pointer_descriptives.csv,"These are secondary descriptive follow-ups on the 40 individual clamp magnitudes, not the primary omnibus."
Paragraph 13,Primary early STL and washout omnibus tests by assigned clamp group,paper_draft_results_early_group_omnibus.csv / paper_draft_results_washout_group_omnibus.csv,paper_requested_seven_row_early_stl_zero_tests.csv / paper_requested_seven_row_washout_stl_zero_tests.csv,Use the cleaner group x pointer ANOVAs for the paragraph openers; retain the 40-clamp zero tests as secondary follow-ups.
Paragraph 17,Baseline vs late adaptation mean shift,paper_draft_results_phase_mean_omnibus.csv,paper_draft_results_phase_mean_by_clamp_paired_tests.csv,"Use the mixed ANOVA on participant-level group averages for the paragraph opener, then the by-clamp paired table for the 40-clamp follow-up."
Paragraph 17,Baseline vs late between-participant spread of mean hand angle,paper_draft_results_phase_spread_omnibus.csv,paper_draft_results_phase_spread_by_clamp_paired_tests.csv,The opener now uses a mixed ANOVA on group-level spread via absolute deviation from the phase-specific group median; the by-clamp follow-up still uses clamp-specific spread tests.
Paragraph 17,High-error bias-sign differences,paper_requested_seven_row_bias_direction_omnibus.csv,paper_requested_seven_row_bias_direction_pairwise.csv,Use the cluster-robust bias-direction term test plus pairwise contrast CIs; overall descriptive means are in the new high-error summary table.
Paragraph 19,Mouse vs Trackpad late adaptation,paper_draft_results_pointer_contrasts.csv,paper_requested_seven_row_late_adaptation_omnibus.csv,The clean simple effect for the 'medium-size clamps' sentence is the peak-range row in the pointer-contrast table.
Paragraph 19,Mouse vs Trackpad early/late variability,paper_draft_results_pointer_contrasts.csv,paper_requested_seven_row_early_stl_variability_omnibus.csv / paper_requested_seven_row_late_variability_omnibus.csv,"For reach variability, prefer the rank-based and log-scale device contrasts because the SD distributions are strongly right-skewed."
Paragraph 19,No difference in mean task-aligned baseline bias,paper_draft_results_pointer_contrasts.csv,,Use the Task-aligned baseline bias row for the clamp-sign-aligned analysis; the Raw signed baseline bias row is the same comparison without task alignment.
Paragraph 19,Raw signed baseline bias control,paper_draft_results_pointer_contrasts.csv,paper_draft_results_bias_frame_spatial_omnibus.csv,Use the Raw signed rows when describing unflipped baseline biases; the printout reports these next to the task-aligned rows.
Paragraph 19,Different spatial bias pattern by input device,paper_draft_results_bias_frame_spatial_omnibus.csv,paper_requested_seven_row_spatial_bias_descriptives.csv,Use the Task-aligned or Raw signed pointer x target interaction according to the bias frame being reported.
